season,team1,team2,toss_winner,toss_decision,venue,winner,result,result_margin,target_runs
4,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Kolkata Knight Riders,wickets,8.0,183.0
4,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,runs,21.0,184.0
4,Deccan Chargers,Punjab Kings,Punjab Kings,field,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,wickets,8.0,166.0
4,Pune Warriors,Delhi Capitals,Delhi Capitals,field,Dr DY Patil Sports Academy,Delhi Capitals,wickets,3.0,188.0
4,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Eden Gardens,Kolkata Knight Riders,wickets,8.0,82.0
4,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,field,Nehru Stadium,Kochi Tuskers Kerala,wickets,7.0,135.0
4,Delhi Capitals,Deccan Chargers,Deccan Chargers,bat,Feroz Shah Kotla,Deccan Chargers,runs,16.0,169.0
4,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Eden Gardens,Kochi Tuskers Kerala,wickets,7.0,119.0
4,Mumbai Indians,Pune Warriors,Pune Warriors,bat,Wankhede Stadium,Mumbai Indians,runs,6.0,133.0
4,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,runs,48.0,196.0
4,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Wankhede Stadium,Mumbai Indians,runs,8.0,165.0
4,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Eden Gardens,Royal Challengers Bangalore,wickets,9.0,172.0
4,Delhi Capitals,Punjab Kings,Punjab Kings,field,Feroz Shah Kotla,Delhi Capitals,runs,29.0,232.0
